lineage,summarized_lineage
PQ.2.1.16,NB.1.8.1.X
PQ.2.1.17,NB.1.8.1.X
PQ.2.1.2,NB.1.8.1.X
PQ.2.1.3,NB.1.8.1.X
PQ.2.1.4,NB.1.8.1.X
PQ.2.1.5,NB.1.8.1.X
PQ.2.1.6,NB.1.8.1.X
PQ.2.1.7,NB.1.8.1.X
PQ.2.1.8,NB.1.8.1.X
PQ.2.1.9,NB.1.8.1.X
PQ.2.10,NB.1.8.1.X
PQ.2.10.1,NB.1.8.1.X
PQ.2.11,NB.1.8.1.X
PQ.2.11.1,NB.1.8.1.X
PQ.2.12,NB.1.8.1.X
PQ.2.12.1,NB.1.8.1.X
PQ.2.13,NB.1.8.1.X
PQ.2.13.1,NB.1.8.1.X
PQ.2.14,NB.1.8.1.X
PQ.2.14.1,NB.1.8.1.X
PQ.2.15,NB.1.8.1.X
PQ.2.2,NB.1.8.1.X
PQ.2.3,NB.1.8.1.X
PQ.2.4,NB.1.8.1.X
PQ.2.4.1,NB.1.8.1.X
PQ.2.4.2,NB.1.8.1.X
PQ.2.4.3,NB.1.8.1.X
PQ.2.4.4,NB.1.8.1.X
PQ.2.5,NB.1.8.1.X
PQ.2.5.1,NB.1.8.1.X
PQ.2.5.2,NB.1.8.1.X
PQ.2.5.3,NB.1.8.1.X
PQ.2.5.4,NB.1.8.1.X
PQ.2.5.5,NB.1.8.1.X
PQ.2.5.6,NB.1.8.1.X
PQ.2.6,NB.1.8.1.X
PQ.2.7,NB.1.8.1.X
PQ.2.7.1,NB.1.8.1.X
PQ.2.7.2,NB.1.8.1.X
PQ.2.8,NB.1.8.1.X
PQ.2.8.1,NB.1.8.1.X
PQ.2.8.2,NB.1.8.1.X
PQ.2.9,NB.1.8.1.X
PQ.20,NB.1.8.1.X
PQ.21,NB.1.8.1.X
PQ.22,NB.1.8.1.X
PQ.23,NB.1.8.1.X
PQ.24,NB.1.8.1.X
PQ.25,NB.1.8.1.X
PQ.25.1,NB.1.8.1.X
PQ.25.2,NB.1.8.1.X
PQ.25.3,NB.1.8.1.X
PQ.25.3.1,NB.1.8.1.X
PQ.26,NB.1.8.1.X
PQ.27,NB.1.8.1.X
PQ.28,NB.1.8.1.X
PQ.29,NB.1.8.1.X
PQ.3,NB.1.8.1.X
PQ.30,NB.1.8.1.X
PQ.31,NB.1.8.1.X
PQ.31.1,NB.1.8.1.X
PQ.31.1.1,NB.1.8.1.X
PQ.31.2,NB.1.8.1.X
PQ.31.3,NB.1.8.1.X
PQ.31.3.1,NB.1.8.1.X
PQ.31.4,NB.1.8.1.X
PQ.32,NB.1.8.1.X
PQ.33,NB.1.8.1.X
PQ.34,NB.1.8.1.X
PQ.34.1,NB.1.8.1.X
PQ.35,NB.1.8.1.X
PQ.36,NB.1.8.1.X
PQ.37,NB.1.8.1.X
PQ.38,NB.1.8.1.X
PQ.39,NB.1.8.1.X
PQ.39.1,NB.1.8.1.X
PQ.4,NB.1.8.1.X
PQ.4.1,NB.1.8.1.X
PQ.4.10,NB.1.8.1.X
PQ.4.10.1,NB.1.8.1.X
PQ.4.2,NB.1.8.1.X
PQ.4.3,NB.1.8.1.X
PQ.4.4,NB.1.8.1.X
PQ.4.5,NB.1.8.1.X
PQ.4.6,NB.1.8.1.X
PQ.4.6.1,NB.1.8.1.X
PQ.4.6.2,NB.1.8.1.X
PQ.4.7,NB.1.8.1.X
PQ.4.8,NB.1.8.1.X
PQ.4.9,NB.1.8.1.X
PQ.40,NB.1.8.1.X
PQ.41,NB.1.8.1.X
PQ.41.1,NB.1.8.1.X
PQ.41.1.1,NB.1.8.1.X
PQ.42,NB.1.8.1.X
PQ.43,NB.1.8.1.X
PQ.43.1,NB.1.8.1.X
PQ.43.1.1,NB.1.8.1.X
PQ.43.2,NB.1.8.1.X
PQ.44,NB.1.8.1.X
PQ.45,NB.1.8.1.X
PQ.46,NB.1.8.1.X
PQ.46.1,NB.1.8.1.X
PQ.47,NB.1.8.1.X
PQ.48,NB.1.8.1.X
PQ.48.1,NB.1.8.1.X
PQ.49,NB.1.8.1.X
PQ.5,NB.1.8.1.X
PQ.5.1,NB.1.8.1.X
PQ.5.1.1,NB.1.8.1.X
PQ.5.1.2,NB.1.8.1.X
PQ.50,NB.1.8.1.X
PQ.50.1,NB.1.8.1.X
PQ.6,NB.1.8.1.X
PQ.6.1,NB.1.8.1.X
PQ.6.1.1,NB.1.8.1.X
PQ.7,NB.1.8.1.X
PQ.8,NB.1.8.1.X
PQ.8.1,NB.1.8.1.X
PQ.8.1.1,NB.1.8.1.X
PQ.8.1.2,NB.1.8.1.X
PQ.8.1.3,NB.1.8.1.X
PQ.8.1.4,NB.1.8.1.X
PQ.9,NB.1.8.1.X
PQ.9.1,NB.1.8.1.X
PQ.9.1.1,NB.1.8.1.X
PR.1,LP.8.1.X
PR.2,LP.8.1.X
PR.3,LP.8.1.X
PS.1,BA.2.86.X
PS.2,BA.2.86.X
PS.3,BA.2.86.X
PT.1,XEC.X
PU.1,XEC.X
PV.1,BA.2.86.X
PV.2,BA.2.86.X
PV.3,BA.2.86.X
PV.3.1,BA.2.86.X
PW.1,BA.2.86.X
PW.2,BA.2.86.X
PW.3,BA.2.86.X
PY.1,BA.2.86.X
PY.1.1,BA.2.86.X
PY.1.1.1,BA.2.86.X
PY.1.2,BA.2.86.X
PY.1.3,BA.2.86.X
PY.1.4,BA.2.86.X
PY.1.4.1,BA.2.86.X
PY.1.5,BA.2.86.X
PY.1.6,BA.2.86.X
PY.1.7,BA.2.86.X
PY.1.8,BA.2.86.X
PY.2,BA.2.86.X
PY.3,BA.2.86.X
PY.4,BA.2.86.X
PY.4.1,BA.2.86.X
PY.5,BA.2.86.X
PY.6,BA.2.86.X
PY.7,BA.2.86.X
PZ.1,BA.2.86.X
Q.1,Alpha
Q.2,Alpha
Q.3,Alpha
Q.4,Alpha
Q.5,Alpha
Q.6,Alpha
Q.7,Alpha
Q.8,Alpha
QA.1,BA.2.86.X
QA.2,BA.2.86.X
QA.3,BA.2.86.X
QA.4,BA.2.86.X
QA.5,BA.2.86.X
QA.6,BA.2.86.X
QA.7,BA.2.86.X
QB.1,BA.2.86.X
QC.1,BA.2.86.X
QC.2,BA.2.86.X
QC.2.1,BA.2.86.X
QC.2.2,BA.2.86.X
QC.2.3,BA.2.86.X
QC.3,BA.2.86.X
QC.4,BA.2.86.X
QC.4.1,BA.2.86.X
QC.5,BA.2.86.X
QC.6,BA.2.86.X
QD.1,BA.2.86.X
QE.1,LP.8.1.X
QF.1,XFG.X
QF.1.1,XFG.X
QF.1.1.1,XFG.X
QF.2,XFG.X
QF.2.1,XFG.X
QF.2.2,XFG.X
QF.2.2.1,XFG.X
QF.2.2.2,XFG.X
QF.2.3,XFG.X
QF.2.4,XFG.X
QF.2.5,XFG.X
QF.2.6,XFG.X
QF.3,XFG.X
QF.3.1,XFG.X
QF.4,XFG.X
QF.5,XFG.X
QF.5.1,XFG.X
QF.6,XFG.X
QF.7,XFG.X
QF.7.1,XFG.X
QG.1,XEC.X
QH.1,LP.8.1.X
QJ.1,BA.2.86.X
QJ.2,BA.2.86.X
QK.1,XFG.X
QK.1.1,XFG.X
QK.2,XFG.X
QK.3,XFG.X
QK.4,XFG.X
QM.1,LP.8.1.X
QM.2,LP.8.1.X
QM.3,LP.8.1.X
QP.1,KP.3.1.1.X
QQ.1,XFG.X
QQ.2,XFG.X
QQ.3,XFG.X
QR.1,BA.2.86.X
QR.2,BA.2.86.X
QS.1,XFG.X
QS.2,XFG.X
QS.3,XFG.X
QS.4,XFG.X
QT.1,XFG.X
QT.1.1,XFG.X
QT.1.2,XFG.X
QT.2,XFG.X
QT.3,XFG.X
QU.1,LP.8.1.X
QU.2,LP.8.1.X
QV.1,BA.2.86.X
QV.2,BA.2.86.X
QW.1,XFG.X
QW.1.1,XFG.X
QY.1,XFG.X
QY.2,XFG.X
QY.2.1,XFG.X
QY.2.1.1,XFG.X
QY.2.2,XFG.X
QY.2.2.1,XFG.X
QY.3,XFG.X
QZ.1,XFG.X
RA.1,Omicron
RB.1,XFG.X
RB.2,XFG.X
RC.1,NB.1.8.1.X
RC.10,NB.1.8.1.X
RC.11,NB.1.8.1.X
RC.12,NB.1.8.1.X
RC.2,NB.1.8.1.X
RC.2.1,NB.1.8.1.X
RC.3,NB.1.8.1.X
RC.4,NB.1.8.1.X
RC.5,NB.1.8.1.X
RC.6,NB.1.8.1.X
RC.7,NB.1.8.1.X
RC.7.1,NB.1.8.1.X
RC.7.1.1,NB.1.8.1.X
RC.8,NB.1.8.1.X
RC.9,NB.1.8.1.X
RD.1,BA.3.2.X
RD.1.1,BA.3.2.X
RD.1.1.1,BA.3.2.X
RD.1.2,BA.3.2.X
RE.1,BA.3.2.X
RE.1.1,BA.3.2.X
RE.1.1.1,BA.3.2.X
RE.1.1.2,BA.3.2.X
RE.1.1.3,BA.3.2.X
RE.1.1.4,BA.3.2.X
RE.1.1.5,BA.3.2.X
RE.1.1.6,BA.3.2.X
RE.1.2,BA.3.2.X
RE.2,BA.3.2.X
RE.2.1,BA.3.2.X
RE.2.1.1,BA.3.2.X
RE.2.1.2,BA.3.2.X
RE.2.1.3,BA.3.2.X
RE.2.1.4,BA.3.2.X
RE.2.1.5,BA.3.2.X
RE.2.1.6,BA.3.2.X
RE.2.2,BA.3.2.X
RE.2.2.1,BA.3.2.X
RE.2.2.2,BA.3.2.X
RE.2.2.3,BA.3.2.X
RE.2.2.4,BA.3.2.X
RE.2.2.5,BA.3.2.X
RE.2.2.6,BA.3.2.X
RE.2.2.7,BA.3.2.X
RE.2.2.8,BA.3.2.X
RE.2.2.9,BA.3.2.X
RE.2.3,BA.3.2.X
RE.2.4,BA.3.2.X
RE.2.5,BA.3.2.X
RE.3,BA.3.2.X
RE.3.1,BA.3.2.X
RE.4,BA.3.2.X
RF.1,BA.2.86.X
RF.2,BA.2.86.X
RF.3,BA.2.86.X
RF.4,BA.2.86.X
RF.5,BA.2.86.X
RF.5.1,BA.2.86.X
RF.5.2,BA.2.86.X
RF.5.3,BA.2.86.X
RG.1,LP.8.1.X
RG.1.1,LP.8.1.X
RG.1.2,LP.8.1.X
RG.2,LP.8.1.X
RG.3,LP.8.1.X
RH.1,NB.1.8.1.X
RJ.1,NB.1.8.1.X
RK.1,NB.1.8.1.X
RK.1.1,NB.1.8.1.X
RK.1.2,NB.1.8.1.X
RK.1.3,NB.1.8.1.X
RL.1,XFG.X
RM.1,XFG.X
RM.2,XFG.X
RM.3,XFG.X
RN.1,XFG.X
RN.2,XFG.X
RN.2.1,XFG.X
RP.1,XFG.X
RP.2,XFG.X
RQ.1,NB.1.8.1.X
RQ.2,NB.1.8.1.X
RR.1,NB.1.8.1.X
RS.1,BA.3.2.X
RS.1.1,BA.3.2.X
RS.1.1.1,BA.3.2.X
RS.1.2,BA.3.2.X
RS.1.3,BA.3.2.X
RS.1.4,BA.3.2.X
RS.1.5,BA.3.2.X
RS.2,BA.3.2.X
RS.3,BA.3.2.X
RS.4,BA.3.2.X
RS.5,BA.3.2.X
RS.6,BA.3.2.X
RT.1,BA.3.2.X
RT.2,BA.3.2.X
RU.1,BA.3.2.X
RV.1,XFG.X
RV.1.1,XFG.X
RV.1.1.1,XFG.X
RV.1.2,XFG.X
RV.1.3,XFG.X
RV.1.4,XFG.X
RV.2,XFG.X
RV.2.1,XFG.X
RW.1,Omicron
RW.1.1,Omicron
RW.1.1.1,Omicron
RW.1.1.2,Omicron
RW.1.1.3,Omicron
RY.1,NB.1.8.1.X
RY.1.1,NB.1.8.1.X
RZ.1,NB.1.8.1.X
RZ.2,NB.1.8.1.X
RZ.2.1,NB.1.8.1.X
SA.1,NB.1.8.1.X
SA.1.1,NB.1.8.1.X
SB.1,XFG.X
SB.1.1,XFG.X
SC.1,XFG.X
SD.1,XFG.X
SD.1.1,XFG.X
SE.1,XFG.X
SE.2,XFG.X
SE.2.1,XFG.X
SE.2.1.1,XFG.X
SF.1,NB.1.8.1.X
SF.1.1,NB.1.8.1.X
SG.1,NB.1.8.1.X
SH.1,NB.1.8.1.X
SJ.1,BA.3.2.X
SK.1,BA.3.2.X
SL.1,BA.3.2.X
SM.1,BA.3.2.X
SN.1,BA.3.2.X
SP.1,XFG.X
SP.2,XFG.X
SP.2.1,XFG.X
SQ.1,BA.3.2.X
SQ.1.1,BA.3.2.X
SQ.2,BA.3.2.X
SQ.3,BA.3.2.X
SS.1,BA.3.2.X
SS.2,BA.3.2.X
ST.1,XFG.X
SU.1,XFG.X
SV.1,NB.1.8.1.X
SV.1.1,NB.1.8.1.X
SV.2,NB.1.8.1.X
SV.2.1,NB.1.8.1.X
SV.3,NB.1.8.1.X
SV.4,NB.1.8.1.X
SV.4.1,NB.1.8.1.X
SW.1,XFG.X
SW.2,XFG.X
SY.1,NB.1.8.1.X
SZ.1,NB.1.8.1.X
SZ.2,NB.1.8.1.X
SZ.3,NB.1.8.1.X
SZ.3.1,NB.1.8.1.X
SZ.4,NB.1.8.1.X
TA.1,XFG.X
TB.1,XFG.X
TB.2,XFG.X
TC.1,XFG.X
XAA,Omicron
XAB,Omicron
XAC,Omicron
XAD,Omicron
XAE,Omicron
XAF,Omicron
XAG,Omicron
XAH,Omicron
XAJ,Omicron
XAK,Omicron
XAL,Omicron
XAM,Omicron
XAN,Omicron
XAP,Omicron
XAQ,Omicron
XAR,Omicron
XAS,Omicron
XAT,Omicron
XAU,Omicron
XAV,Omicron
XAZ,Omicron
XBB,XBB.X
XBB.1,XBB.X
XBB.1.1,XBB.X
XBB.1.10,XBB.X
XBB.1.11,XBB.X
XBB.1.11.1,XBB.X
XBB.1.12,XBB.X
XBB.1.12.1,XBB.X
XBB.1.13,XBB.X
XBB.1.13.1,XBB.X
XBB.1.14,XBB.X
XBB.1.14.1,XBB.X
XBB.1.15,XBB.X
XBB.1.15.1,XBB.X
XBB.1.16,XBB.1.16.X
XBB.1.16.1,XBB.1.16.X
XBB.1.16.10,XBB.1.16.X
XBB.1.16.11,XBB.1.16.X
XBB.1.16.12,XBB.1.16.X
XBB.1.16.13,XBB.1.16.X
XBB.1.16.14,XBB.1.16.X
XBB.1.16.15,XBB.1.16.X
XBB.1.16.16,XBB.1.16.X
XBB.1.16.17,XBB.1.16.X
XBB.1.16.18,XBB.1.16.X
XBB.1.16.19,XBB.1.16.X
XBB.1.16.2,XBB.1.16.X
XBB.1.16.20,XBB.1.16.X
XBB.1.16.21,XBB.1.16.X
XBB.1.16.22,XBB.1.16.X
XBB.1.16.23,XBB.1.16.X
XBB.1.16.24,XBB.1.16.X
XBB.1.16.25,XBB.1.16.X
XBB.1.16.26,XBB.1.16.X
XBB.1.16.27,XBB.1.16.X
XBB.1.16.28,XBB.1.16.X
XBB.1.16.29,XBB.1.16.X
XBB.1.16.3,XBB.1.16.X
XBB.1.16.30,XBB.1.16.X
XBB.1.16.31,XBB.1.16.X
XBB.1.16.32,XBB.1.16.X
XBB.1.16.4,XBB.1.16.X
XBB.1.16.5,XBB.1.16.X
XBB.1.16.6,XBB.1.16.X
XBB.1.16.7,XBB.1.16.X
XBB.1.16.8,XBB.1.16.X
XBB.1.16.9,XBB.1.16.X
XBB.1.17,XBB.X
XBB.1.17.1,XBB.X
XBB.1.17.2,XBB.X
XBB.1.18,XBB.X
XBB.1.18.1,XBB.X
XBB.1.19,XBB.X
XBB.1.19.1,XBB.X
XBB.1.19.2,XBB.X
XBB.1.2,XBB.X
XBB.1.20,XBB.X
XBB.1.21,XBB.X
XBB.1.22,XBB.X
XBB.1.22.1,XBB.X
XBB.1.22.2,XBB.X
XBB.1.22.3,XBB.X
XBB.1.23,XBB.X
XBB.1.24,XBB.X
XBB.1.24.1,XBB.X
XBB.1.24.2,XBB.X
XBB.1.24.3,XBB.X
XBB.1.25,XBB.X
XBB.1.26,XBB.X
XBB.1.27,XBB.X
XBB.1.28,XBB.X
XBB.1.28.1,XBB.X
XBB.1.29,XBB.X
XBB.1.3,XBB.X
XBB.1.30,XBB.X
XBB.1.31,XBB.X
XBB.1.31.1,XBB.X
XBB.1.31.2,XBB.X
XBB.1.32,XBB.X
XBB.1.32.1,XBB.X
XBB.1.33,XBB.X
XBB.1.34,XBB.X
XBB.1.34.1,XBB.X
XBB.1.34.2,XBB.X
XBB.1.35,XBB.X
XBB.1.36,XBB.X
XBB.1.37,XBB.X
XBB.1.37.1,XBB.X
XBB.1.38,XBB.X
XBB.1.38.1,XBB.X
XBB.1.39,XBB.X
XBB.1.4,XBB.X
XBB.1.4.1,XBB.X
XBB.1.4.2,XBB.X
XBB.1.40,XBB.X
XBB.1.41,XBB.X
XBB.1.41.1,XBB.X
XBB.1.41.2,XBB.X
XBB.1.41.3,XBB.X
XBB.1.42,XBB.X
XBB.1.42.1,XBB.X
XBB.1.42.2,XBB.X
XBB.1.43,XBB.X
XBB.1.43.1,XBB.X
XBB.1.44,XBB.X
XBB.1.44.1,XBB.X
XBB.1.45,XBB.X
XBB.1.45.1,XBB.X
XBB.1.46,XBB.X
XBB.1.47,XBB.X
XBB.1.47.1,XBB.X
XBB.1.48,XBB.X
XBB.1.49,XBB.X
XBB.1.5,XBB.1.5.X
XBB.1.5.1,XBB.1.5.X
XBB.1.5.10,XBB.1.5.X
XBB.1.5.100,XBB.1.5.X
XBB.1.5.101,XBB.1.5.X
XBB.1.5.102,XBB.1.5.X
XBB.1.5.103,XBB.1.5.X
XBB.1.5.104,XBB.1.5.X
XBB.1.5.105,XBB.1.5.X
XBB.1.5.106,XBB.1.5.X
XBB.1.5.107,XBB.1.5.X
XBB.1.5.108,XBB.1.5.X
XBB.1.5.109,XBB.1.5.X
XBB.1.5.11,XBB.1.5.X
XBB.1.5.110,XBB.1.5.X
XBB.1.5.12,XBB.1.5.X
XBB.1.5.13,XBB.1.5.X
XBB.1.5.14,XBB.1.5.X
XBB.1.5.15,XBB.1.5.X
XBB.1.5.16,XBB.1.5.X
XBB.1.5.17,XBB.1.5.X
XBB.1.5.18,XBB.1.5.X
XBB.1.5.19,XBB.1.5.X
XBB.1.5.2,XBB.1.5.X
XBB.1.5.20,XBB.1.5.X
XBB.1.5.21,XBB.1.5.X
XBB.1.5.22,XBB.1.5.X
XBB.1.5.23,XBB.1.5.X
XBB.1.5.24,XBB.1.5.X
XBB.1.5.25,XBB.1.5.X
XBB.1.5.26,XBB.1.5.X
XBB.1.5.27,XBB.1.5.X
XBB.1.5.28,XBB.1.5.X
XBB.1.5.29,XBB.1.5.X
XBB.1.5.3,XBB.1.5.X
XBB.1.5.30,XBB.1.5.X
XBB.1.5.31,XBB.1.5.X
XBB.1.5.32,XBB.1.5.X
XBB.1.5.33,XBB.1.5.X
XBB.1.5.34,XBB.1.5.X
XBB.1.5.35,XBB.1.5.X
XBB.1.5.36,XBB.1.5.X
XBB.1.5.37,XBB.1.5.X
XBB.1.5.38,XBB.1.5.X
XBB.1.5.39,XBB.1.5.X
XBB.1.5.4,XBB.1.5.X
XBB.1.5.40,XBB.1.5.X
XBB.1.5.41,XBB.1.5.X
XBB.1.5.42,XBB.1.5.X
XBB.1.5.43,XBB.1.5.X
XBB.1.5.44,XBB.1.5.X
XBB.1.5.45,XBB.1.5.X
XBB.1.5.46,XBB.1.5.X
XBB.1.5.47,XBB.1.5.X
XBB.1.5.48,XBB.1.5.X
XBB.1.5.49,XBB.1.5.X
XBB.1.5.5,XBB.1.5.X
XBB.1.5.50,XBB.1.5.X
XBB.1.5.51,XBB.1.5.X
XBB.1.5.52,XBB.1.5.X
XBB.1.5.53,XBB.1.5.X
XBB.1.5.54,XBB.1.5.X
XBB.1.5.55,XBB.1.5.X
XBB.1.5.56,XBB.1.5.X
XBB.1.5.57,XBB.1.5.X
XBB.1.5.58,XBB.1.5.X
XBB.1.5.59,XBB.1.5.X
XBB.1.5.6,XBB.1.5.X
XBB.1.5.60,XBB.1.5.X
XBB.1.5.61,XBB.1.5.X
XBB.1.5.62,XBB.1.5.X
XBB.1.5.63,XBB.1.5.X
XBB.1.5.64,XBB.1.5.X
XBB.1.5.65,XBB.1.5.X
XBB.1.5.66,XBB.1.5.X
XBB.1.5.67,XBB.1.5.X
XBB.1.5.68,XBB.1.5.X
XBB.1.5.69,XBB.1.5.X
XBB.1.5.7,XBB.1.5.X
XBB.1.5.70,XBB.1.5.X
XBB.1.5.71,XBB.1.5.X
XBB.1.5.72,XBB.1.5.X
XBB.1.5.73,XBB.1.5.X
XBB.1.5.74,XBB.1.5.X
XBB.1.5.75,XBB.1.5.X
XBB.1.5.76,XBB.1.5.X
XBB.1.5.77,XBB.1.5.X
XBB.1.5.78,XBB.1.5.X
XBB.1.5.79,XBB.1.5.X
XBB.1.5.8,XBB.1.5.X
XBB.1.5.80,XBB.1.5.X
XBB.1.5.81,XBB.1.5.X
XBB.1.5.82,XBB.1.5.X
XBB.1.5.83,XBB.1.5.X
XBB.1.5.84,XBB.1.5.X
XBB.1.5.85,XBB.1.5.X
XBB.1.5.86,XBB.1.5.X
XBB.1.5.87,XBB.1.5.X
XBB.1.5.88,XBB.1.5.X
XBB.1.5.89,XBB.1.5.X
XBB.1.5.9,XBB.1.5.X
XBB.1.5.90,XBB.1.5.X
XBB.1.5.91,XBB.1.5.X
XBB.1.5.92,XBB.1.5.X
XBB.1.5.93,XBB.1.5.X
XBB.1.5.94,XBB.1.5.X
XBB.1.5.95,XBB.1.5.X
XBB.1.5.96,XBB.1.5.X
XBB.1.5.97,XBB.1.5.X
XBB.1.5.98,XBB.1.5.X
XBB.1.5.99,XBB.1.5.X
XBB.1.6,XBB.X
XBB.1.7,XBB.X
XBB.1.8,XBB.X
XBB.1.9,XBB.X
XBB.1.9.1,XBB.1.9.1.X
XBB.1.9.2,XBB.1.9.2.X
XBB.1.9.3,XBB.X
XBB.1.9.4,XBB.X
XBB.1.9.5,XBB.X
XBB.1.9.6,XBB.X
XBB.1.9.7,XBB.X
XBB.2,XBB.X
XBB.2.1,XBB.X
XBB.2.10,XBB.X
XBB.2.11,XBB.X
XBB.2.11.1,XBB.X
XBB.2.12,XBB.X
XBB.2.2,XBB.X
XBB.2.3,XBB.2.3.X
XBB.2.3.1,XBB.2.3.X
XBB.2.3.10,XBB.2.3.X
XBB.2.3.11,XBB.2.3.X
XBB.2.3.12,XBB.2.3.X
XBB.2.3.13,XBB.2.3.X
XBB.2.3.14,XBB.2.3.X
XBB.2.3.15,XBB.2.3.X
XBB.2.3.16,XBB.2.3.X
XBB.2.3.17,XBB.2.3.X
XBB.2.3.18,XBB.2.3.X
XBB.2.3.19,XBB.2.3.X
XBB.2.3.2,XBB.2.3.X
XBB.2.3.20,XBB.2.3.X
XBB.2.3.21,XBB.2.3.X
XBB.2.3.22,XBB.2.3.X
XBB.2.3.3,XBB.2.3.X
XBB.2.3.4,XBB.2.3.X
XBB.2.3.5,XBB.2.3.X
XBB.2.3.6,XBB.2.3.X
XBB.2.3.7,XBB.2.3.X
XBB.2.3.8,XBB.2.3.X
XBB.2.3.9,XBB.2.3.X
XBB.2.4,XBB.X
XBB.2.5,XBB.X
XBB.2.6,XBB.X
XBB.2.6.1,XBB.X
XBB.2.6.2,XBB.X
XBB.2.6.3,XBB.X
XBB.2.7,XBB.X
XBB.2.7.1,XBB.X
XBB.2.8,XBB.X
XBB.2.9,XBB.X
XBB.3,XBB.X
XBB.3.1,XBB.X
XBB.3.2,XBB.X
XBB.3.3,XBB.X
XBB.3.4,XBB.X
XBB.3.5,XBB.X
XBB.4,XBB.X
XBB.4.1,XBB.X
XBB.5,XBB.X
XBB.6,XBB.X
XBB.6.1,XBB.X
XBB.7,XBB.X
XBB.8,XBB.X
XBB.8.1,XBB.X
XBB.8.2,XBB.X
XBB.9,XBB.X
XBD,Omicron
XBE,Omicron
XBF,Omicron
XBF.1,Omicron
XBF.1.1,Omicron
XBF.10,Omicron
XBF.2,Omicron
XBF.3,Omicron
XBF.4,Omicron
XBF.5,Omicron
XBF.6,Omicron
XBF.7,Omicron
XBF.7.1,Omicron
XBF.8,Omicron
XBF.8.1,Omicron
XBF.9,Omicron
XBG,Omicron
XBH,Omicron
XBJ,Omicron
XBJ.1,Omicron
XBJ.1.1,Omicron
XBJ.2,Omicron
XBJ.3,Omicron
XBJ.4,Omicron
XBK,Omicron
XBK.1,Omicron
XBM,Omicron
XBP,Omicron
XBQ,Omicron
XBR,Omicron
XBS,Omicron
XBT,Omicron
XBU,Omicron
XBZ,Omicron
XCA,Omicron
XCB,Omicron
XDY,Omicron
XDY.1,Omicron
XDY.1.1,Omicron
XDY.10,Omicron
XDY.11,Omicron
XDY.12,Omicron
XDY.12.1,Omicron
XDY.12.1.1,Omicron
XDY.2,Omicron
XDY.3,Omicron
XDY.3.1,Omicron
XDY.3.2,Omicron
XDY.3.3,Omicron
XDY.4,Omicron
XDY.5,Omicron
XDY.5.1,Omicron
XDY.6,Omicron
XDY.7,Omicron
XDY.8,Omicron
XDY.9,Omicron
XE,Omicron
XEC,XEC.X
XEC.1,XEC.X
XEC.10,XEC.X
XEC.11,XEC.X
XEC.11.1,XEC.X
XEC.11.1.1,XEC.X
XEC.12,XEC.X
XEC.13,XEC.X
XEC.14,XEC.X
XEC.14.1,XEC.X
XEC.14.1.1,XEC.X
XEC.15,XEC.X
XEC.16,XEC.X
XEC.17,XEC.X
XEC.18,XEC.X
XEC.18.1,XEC.X
XEC.18.1.1,XEC.X
XEC.18.2,XEC.X
XEC.18.3,XEC.X
XEC.18.4,XEC.X
XEC.19,XEC.X
XEC.2,XEC.X
XEC.2.1,XEC.X
XEC.2.10,XEC.X
XEC.2.2,XEC.X
XEC.2.2.1,XEC.X
XEC.2.3,XEC.X
XEC.2.3.1,XEC.X
XEC.2.4,XEC.X
XEC.2.5,XEC.X
XEC.2.6,XEC.X
XEC.2.7,XEC.X
XEC.2.8,XEC.X
XEC.2.9,XEC.X
XEC.20,XEC.X
XEC.20.1,XEC.X
XEC.21,XEC.X
XEC.22,XEC.X
XEC.23,XEC.X
XEC.23.1,XEC.X
XEC.24,XEC.X
XEC.24.1,XEC.X
XEC.25,XEC.X
XEC.25.1,XEC.X
XEC.25.1.1,XEC.X
XEC.25.1.2,XEC.X
XEC.25.1.3,XEC.X
XEC.26,XEC.X
XEC.27,XEC.X
XEC.27.1,XEC.X
XEC.27.2,XEC.X
XEC.27.2.1,XEC.X
XEC.27.2.2,XEC.X
XEC.28,XEC.X
XEC.29,XEC.X
XEC.3,XEC.X
XEC.30,XEC.X
XEC.31,XEC.X
XEC.32,XEC.X
XEC.32.1,XEC.X
XEC.32.2,XEC.X
XEC.32.3,XEC.X
XEC.33,XEC.X
XEC.34,XEC.X
XEC.35,XEC.X
XEC.35.1,XEC.X
XEC.36,XEC.X
XEC.37,XEC.X
XEC.38,XEC.X
XEC.39,XEC.X
XEC.4,XEC.X
XEC.4.1,XEC.X
XEC.4.1.1,XEC.X
XEC.4.1.2,XEC.X
XEC.4.1.3,XEC.X
XEC.4.1.4,XEC.X
XEC.4.1.5,XEC.X
XEC.4.1.6,XEC.X
XEC.4.2,XEC.X
XEC.4.3,XEC.X
XEC.4.4,XEC.X
XEC.4.5,XEC.X
XEC.4.5.1,XEC.X
XEC.4.6,XEC.X
XEC.4.6.1,XEC.X
XEC.4.7,XEC.X
XEC.4.8,XEC.X
XEC.4.9,XEC.X
XEC.40,XEC.X
XEC.41,XEC.X
XEC.42,XEC.X
XEC.43,XEC.X
XEC.5,XEC.X
XEC.5.1,XEC.X
XEC.6,XEC.X
XEC.7,XEC.X
XEC.8,XEC.X
XEC.8.1,XEC.X
XEC.9,XEC.X
XED,Omicron
XEE,Omicron
XEF,Omicron
XEF.1,Omicron
XEF.2,Omicron
XEF.3,Omicron
XEH,Omicron
XEJ,Omicron
XEJ.1,Omicron
XEJ.2,Omicron
